Open,High,Low,Volume,Direction
11.35,11.35,11.25,10590,0
11.12,11.24,11.11,1330,0
11.11,11.45,11.11,11580,1
11.11,11.3,11.11,1770,0
10.67,10.67,10.67,-,0
10.05,10.1,10.05,1150,0
10.28,10.28,10.28,-,1
10.31,10.31,10.28,720,0
11,11.3,11,1620,1
10.85,10.85,10.85,-,0
11,11.35,11,900,1
10.15,10.16,10.15,360,0
10.38,10.38,10.25,1890,1
10.78,10.79,10.31,2710,1
11.12,11.12,10.67,840,0
10.75,11.1,10.25,2900,1
10.25,10.5,10.25,580,0
10.26,10.27,10.26,20270,0
10.88,11.25,10.88,7240,1
11.25,11.25,11,3650,1
10.19,10.8,10.19,2250,0
11.21,11.21,10.3,1150,0
10.5,11.49,10.5,670,1
11.7,11.7,11.21,600,0
10.76,11.13,10.76,1440,0
10.77,10.77,10.75,2050,0
10.87,10.94,10.87,11610,1
10.87,10.87,10.71,1890,0
10.48,10.61,10.48,1820,0
10.62,11.24,10.53,1180,0
10.45,10.48,10.45,820,0
10.53,10.53,10.44,20250,1
10.63,10.82,10.45,3930,1
10.45,10.52,10.45,4230,0
10.44,10.81,10.44,3770,1
10.46,10.78,10.46,4320,1
10.44,10.44,10.44,-,0
10.4,10.4,10.4,-,0
10.37,10.38,10.37,3060,0
10.26,10.26,10.15,6020,0
10.22,10.44,10.22,1790,1
10.18,10.25,10.14,23030,0
10.25,10.25,10.25,-,1
10.15,10.16,10.15,1460,0
10.15,10.15,10.15,-,0
10.49,10.49,10.13,1490,0
10.37,10.37,10.36,1820,1
10.5,10.84,10.37,4990,1
10.37,10.6,10.37,590,1
10.71,10.81,10.7,1110,1
10.84,10.85,10.22,5350,0
10.48,10.49,10.48,640,1
10.17,10.65,10.17,3940,1
10.6,10.91,10.6,2700,0
10.35,10.8,10.35,10350,1
10.69,10.7,10.69,4310,0
10.7,10.83,10.7,1240,1
10.78,10.88,10.78,2650,1
10.8,10.89,10.57,17300,0
10.89,10.89,10.8,12460,0
10.98,10.98,10.8,2710,0
10.8,10.98,10.8,2020,1
10.93,10.99,10.93,11880,1
10.62,11.53,10.62,1790,0
10.49,11.17,10.49,1890,1
11,11,10.99,670,0
11.45,11.45,10.99,2090,1
11,11,11,-,0
10.99,11.5,10.99,720,1
10.74,11.5,10.74,5520,0
11.52,11.52,10.97,4330,1
11.2,11.35,11.15,1340,0
10.45,11.2,10.45,2720,1
10.85,11.1,10.85,2420,0
10.97,11.05,10.97,1750,0
10.9,11,10.9,8860,1
10.9,10.98,10.9,2920,0
10.91,11.53,10.91,640,1
10.8,11.22,10.8,40110,0
10.95,10.98,10.95,1540,1
10.98,11.31,10.98,840,1
10.97,11.05,10.97,1110,0
11,11.26,11,1720,1
11.17,11.17,10.95,2100,0
11.38,11.38,10.98,1290,0
10.9,11.15,10.9,6540,1
10.9,11.5,10.9,24100,0
10.95,11.22,10.95,3130,1
11.1,11.77,11.1,1280,1
10.95,11.17,10.9,1570,0
10.9,11.1,10.9,27660,0
10.93,11,10.51,5380,0
10.86,11.8,10.86,3610,1
11.99,11.99,11.18,300,0
10.7,11.01,10.7,3610,0
10.79,12,10.79,4490,1
11.68,11.68,11.5,1400,0
11.51,12.03,11.51,680,1
11.51,11.51,11.51,-,0
10.55,12.11,10.55,11090,1
12.47,14.47,11.81,1310,0
14.46,14.46,11.5,3400,0
10.94,10.94,10.83,2380,0
11.01,11.01,11,590,1
11.01,11.99,11.01,2080,1
12.48,12.48,10.78,830,0
10.79,10.79,10.79,-,1
11.63,11.63,10.79,670,0
10.79,10.8,10.79,930,1
10.79,10.79,10.79,-,0
10.79,10.79,10.77,850,0
10.54,10.8,10.54,2700,0
10.55,10.55,9.56,7310,0
9.55,9.65,9.2,2800,1
9.65,9.7,8.61,7700,0
8.6,9,8.6,5400,1
8.66,8.67,8.66,560,1
8.9,9.95,8.46,13670,1
9.9,9.9,9.01,1960,0
9.8,9.8,8.75,3890,0
9.85,9.85,9,10880,1
9.65,9.65,8.51,4570,0
8.38,9.18,8.38,3520,0
7.75,9.55,7.75,8860,0
8.5,9.34,8.5,4950,1
9.18,9.24,9.01,4260,0
9.19,9.19,9.19,-,1
8.88,9.28,8.87,2770,1
8.86,8.86,8,8000,0
8.94,8.94,8,13770,0
8.41,8.99,8.1,12860,1
8.41,8.41,8.41,-,0
8.32,8.32,8.05,9930,0
8.36,8.63,8.35,2970,1
8.5,8.7,8.25,8400,0
8.27,8.4,8.27,5540,0
8.3,8.35,8.3,12790,1
8.35,8.53,8.35,11890,1
8.53,8.55,8.4,9040,1
8.4,8.41,8.17,21570,0
8.36,8.56,8.2,36440,0
7.8,8.35,7.8,16270,1
8.35,8.56,8.35,13020,1
8.35,8.49,7.96,16230,1
8.35,8.48,8.25,45580,0
8,8.46,7.96,20120,0
8,8.51,8,37890,1
8.01,8.58,8,16420,0
8.25,8.58,8.25,43000,1
8.54,8.54,8,16060,0
8,8.53,8,44850,1
8.25,8.8,8.25,15020,1
8.25,8.25,7.1,112690,0
7.52,7.79,7.4,47510,0
7.4,7.91,7.4,49450,1
7.7,7.9,7.1,36370,0
7.01,7.84,7.01,19680,1
7.96,7.97,7.01,18170,0
7.5,7.79,7.5,18520,1
7.63,7.64,7.29,5230,0
7.5,7.89,7.5,13950,1
7.26,8.2,7.26,5110,0
7.2,7.92,7.2,6870,0
7.25,7.9,7.25,63560,1
7.65,7.65,7.3,22410,0
7.2,7.48,7.2,6220,1
7.2,7.85,7.2,2270,1
7.21,7.91,7.05,5160,0
7.32,7.9,7.3,4170,1
7.37,7.9,7.37,2960,1
7.51,7.9,7.51,1320,0
7.78,7.78,7.65,3560,0
7.65,7.65,7.65,-,0
7.88,11.47,7.88,19260,1
8.55,10.1,8.55,5830,1
8.75,12,8.73,8040,0
8.59,15,8.59,6790,1
20,22,19,4160,1
10.51,22,10.51,7270,0
10.56,10.56,10.56,-,0
10.61,10.61,10.61,-,1
10.66,10.66,9.62,3880,0
10.01,10.01,10.01,-,1
10.01,11,10.01,1420,1
11.18,11.23,10.16,2740,1
10.17,17,10.17,7550,1
15.5,15.5,11.55,1610,0
12.74,13.05,12.58,3710,1
12.85,12.85,11.31,4310,0
11.31,12.59,11.31,1400,1
16,18,15.98,6150,1
10.52,18,10.52,5630,0
18.5,19,14.75,3010,0
11.96,18.5,11.96,8450,0
18,19.25,18,870,1
15.01,15.01,15.01,-,0
15.02,15.22,15.02,1070,1
12.53,12.55,12.53,820,0
19.02,19.02,13.02,460,1
13.5,15,13.5,3770,1
13.71,14.99,13.6,5300,0
14.22,14.22,13.45,1870,0
13.45,13.45,12.05,5060,0
12.15,12.62,12.15,23070,1
12.8,13.68,12.8,24940,1
14,14.5,13.5,21560,1
13.6,14.3,12.16,1360,0
12.35,13.51,12.35,2090,1
12.35,12.49,12.35,1340,0
12.35,12.35,12,2220,0
12.06,13.26,12.06,4750,1
12.58,13.5,12.55,1100,1
12.75,13.1,12.75,520,0
12.75,12.75,12.75,-,0
12.75,12.88,11.91,8070,0
12.01,12.01,11.91,1890,0
11.91,11.91,11.91,-,0
11.85,11.85,11.85,-,0
11.5,11.5,11.5,-,0
11.5,11.57,11,1230,0
10,11,10,2960,0
10.46,10.46,9.95,760,0
10.03,10.47,9.97,4180,1
10,10.62,10,2700,1
10.02,10.02,10.01,1460,0
10.02,10.03,10.02,1420,1
9.75,9.75,9.75,-,0
9.75,9.75,8.25,6860,0
8.5,8.51,8.46,7050,1
8.6,9.5,8.5,16900,1
8.46,8.53,8.46,18200,1
8.47,9,8.3,22810,1
8.8,9,8.4,43610,0
8.81,8.81,8.34,49740,0
8.55,8.59,8.55,630,1
8.5,8.6,8.5,6200,0
10.44,10.44,8.56,7100,1
8.3,9.48,8.3,760,1
8.31,9.48,8.31,6070,0
9.25,9.25,8.25,32620,0
8.3,8.31,8.26,2580,0
9.15,9.15,8.26,850,0
9.13,9.18,8.31,1930,1
8.32,8.99,8.32,2620,0
8.6,8.93,8.56,2880,1
8.59,8.8,8.55,14650,0
8.56,8.6,8.56,590,1
8.86,9.07,8.58,11520,1
9.04,9.04,9,2370,0
